Fecha,Día,Sedes,Resultado,GF,GC,Adversario,Formación,Árbitro,Anfitrion,Edad(opp),Pos.(opp),Ass(opp),TPint(opp),PrgC(opp),PrgP(opp),% de TT(opp),Dist(opp),% Cmp(opp),Dist. tot.(opp),TklG(opp),Int(opp),Err(opp),RL(opp),PG(opp),PE(opp),PP(opp),GF(opp),GC(opp),xG(opp),xGA(opp),Últimos 5(opp),Máximo Goleador del Equipo(opp),Edad(tm),Pos.(tm),Ass(tm),TPint(tm),PrgC(tm),PrgP(tm),% de TT(tm),Dist(tm),% Cmp(tm),Dist. tot.(tm),TklG(tm),Int(tm),Err(tm),RL(tm),PG(tm),PE(tm),PP(tm),GF(tm),GC(tm),xG(tm),xGA(tm),Últimos 5(tm),Máximo Goleador del Equipo(tm)
2023-12-03,7,1,3,1,0,Atlético Madrid,4-3-3,José Sánchez,Barcelona,29.2,51.3,8.0,0.0,93.0,261.0,35.9,15.6,83.7,49496.0,55.0,40.0,4.0,4.0,3.0,3.0,0.0,10.0,3.0,10.0,4.2,11.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-12-10,7,1,1,2,4,Girona,4-3-3,Isidro Díaz de Mera,Barcelona,27.5,56.7,6.0,1.0,106.0,282.0,33.3,17.0,86.9,53461.0,64.0,42.0,3.0,12.0,2.0,1.0,3.0,8.0,10.0,8.3,5.9,6.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-12-16,6,0,2,1,1,Valencia,4-3-3,Miguel Ángel Ortiz Arias,Barcelona,24.3,46.0,4.0,0.0,90.0,210.0,23.2,18.6,78.0,39389.0,62.0,41.0,2.0,19.0,1.0,1.0,4.0,5.0,10.0,3.6,9.8,4.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2023-12-20,3,1,3,3,2,Almería,4-3-3,Guillermo Cuadra,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-01-04,4,0,3,2,1,Las Palmas,4-3-3,Pablo González,Barcelona,28.0,57.7,5.0,0.0,82.0,219.0,41.4,17.6,81.1,45938.0,59.0,50.0,1.0,20.0,0.0,2.0,4.0,7.0,12.0,6.0,11.6,1.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-01-21,7,0,3,4,2,Betis,4-3-3,Jesús Gil,Barcelona,28.1,55.2,4.0,1.0,109.0,270.0,28.6,18.1,82.8,45433.0,62.0,48.0,2.0,11.0,2.0,2.0,2.0,6.0,6.0,9.1,5.9,7.0,3.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-01-27,6,1,1,3,5,Villarreal,4-3-3,José Luis Munuera,Barcelona,28.0,42.7,8.0,1.0,94.0,225.0,32.5,15.7,81.5,40449.0,49.0,42.0,2.0,6.0,3.0,2.0,1.0,12.0,13.0,9.6,10.2,10.0,4.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-01-31,3,1,3,1,0,Osasuna,4-3-3,Jorge Figueroa,Barcelona,27.5,45.3,3.0,1.0,91.0,184.0,32.2,16.6,73.8,33880.0,57.0,49.0,2.0,8.0,3.0,1.0,2.0,8.0,11.0,5.5,8.1,9.0,1.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-02-03,6,0,3,3,1,Alavés,4-3-3,Juan Martínez,Barcelona,27.3,41.3,4.0,2.0,87.0,192.0,31.0,16.5,69.4,28845.0,61.0,53.0,0.0,7.0,3.0,1.0,2.0,9.0,7.0,8.4,6.1,10.0,2.0,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
2024-02-11,7,1,2,3,3,Granada,4-3-3,Miguel Ángel Ortiz Arias,Barcelona,,,,,,,,,,,,,,,,,,,,,,,,25.2,63.2,16,2,116,324,39.6,17.0,86.6,55818,56,26,3,1,6,0,0,22,5,16.9,6.4,15,6
